cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
21101,Chulumani,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""ADEPCOCA"",""v"":2}]",,
21102,Irupana,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""ADEPCOCA"",""v"":1}]",,
21103,Yanacachi,,,,[],,
21104,Palos Blancos,,,,[],,
21105,La Asunta,,,,[],,
21201,Pucarani,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2},{""s"":""M.P.S."",""v"":2}]",,
21202,Laja,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":1},{""s"":""ASP"",""v"":2}]",,
21203,Batallas,,,,[],,
21204,Puerto Pérez,,,,[],,
21301,Sica Sica,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""ASP"",""v"":1},{""s"":""M.P.S."",""v"":1},{""s"":""NOS"",""v"":1}]",,
21302,Umala,6,4,2,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""ASP"",""v"":1},{""s"":""NOS"",""v"":3}]",,
21303,Ayo Ayo,4,3,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1}]",,
21304,Calamarca,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":2},{""s"":""NOS"",""v"":1}]",,
21305,Patacamaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""M.P.S."",""v"":1},{""s"":""PACHA"",""v"":1}]",,
21306,Colquencha,,,,[],,
21307,Collana,,,,[],,
21401,Coroico,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""M.P.S."",""v"":1}]",,
21402,Coripata,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":1},{""s"":""M.P.S."",""v"":2}]",,
21501,Ixiamas,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":2},{""s"":""UN"",""v"":1}]",,
21502,San Buenaventura,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""UN"",""v"":1},{""s"":""M.P.S."",""v"":2}]",,
