cod_ine,nombre,gestion,alcalde,foto,partido,votos
10101,Sucre,2011,Moisés Torres Chivé,,LIDER,46.25
10102,Yotala,2011,Néstor Rengipo Amado,,MAS- IPSP,67.82
10103,Poroma,2011,Felipe Choque Mallco,,MAS- IPSP,83.87
10201,Villa Azurduy,2011,Rufino Millares Ríos,,MAS- IPSP,65.33
10202,Tarvita,2011,Wilfredo Ipiña Alcoba,,MAS- IPSP,68.09
10301,Villa Zudañez,2011,Narcizo Coaquira Tardío,,MAS- IPSP,53.25
10302,Presto,2011,Felipe Ortuño Dávila,,MAS- IPSP,79.7
10303,Villa Mojocoya,2011,Alejandro Padilla Donoso,,MAS- IPSP,72.07
10304,Icla,2011,Inocencio Sánchez Illanes,,MAS- IPSP,100
10401,Padilla,2011,Juan Carlos León Rodas,,MAS- IPSP,68.46
10402,Tomina,2011,Fermín Orías Montero,,MAS- IPSP,95.93
10403,Sopachuy,2011,Mario Núñez Segarra,,MAS- IPSP,72.08
10404,Villa Alcalá,2011,Jose Rejas Salazar,,MAS- IPSP,56.6
10405,El Villar,2011,Mauricio Díaz Paredes,,MAS- IPSP,76.18
10501,Monteagudo,2011,Gustavo Ricardo Zárate López,,NA-C,45.54
10502,San Pablo de Huacareta,2011,Daniel Lopez ,,LIDER,41.7
10601,Tarabuco,2011,Gregorio Ignacio,,MAS- IPSP,59.46
10602,Yamparáez,2011,Braulio Yucra Duarte,,MAS- IPSP,72.08
10701,Camargo,2011,Marco Antonio Barrero Bellido,,MAS- IPSP,38.06
10702,San Lucas,2011,Eloy Acuña Esposo,,MAS- IPSP,63.72
10703,Incahuasi,2011,Ediver Llanos Miranda a.i.,,MAS- IPSP,55.84
10704,Villa Charcas,2011,Juan Rodríguez Rengifo,,MAS- IPSP,64.1
10801,Villa Serrano,2011,José Luis Canizares Mita,,MAS- IPSP,69.26
10901,Camataqui (Villa Abecia),2011,Johnny gilberto Ortega,,MAS- IPSP,56.19
10902,Culpina,2011,Víctor Gallardo Rivera,,MSM,52.76
10903,Las Carreras,2011,Limber Aparicio Flores,,MSM,53.32
11001,Villa Vaca Guzmán (Muyupampa),2011,Jhonny Hermo Herrera Gorostiaga,,MAS- IPSP,45.65
11002,Huacaya,2011,Henry Nogales Rosado,,MSM,59.21
11003,Macharetí,2011,Reinaldo Maraz Padilla,,MAS- IPSP,57.22
20101,La Paz,2011,Luis Antonio Revilla Herrero,,MSM,48.53
20102,Palca,2011,René Vitaliano Aruquipa Ramos ,,MAS- IPSP,64.98
20103,Mecapaca,2011,Placido Huanca Quillo,,MAS- IPSP,52.99
20104,Achocalla,2011,Telmo Félix Mamani Alba,,MAS- IPSP,31.66
20105,El Alto,2011,Edgar Hermógenes Patana Ticona,,MAS- IPSP,38.76
20201,Achacachi,2011,Constancio Gutiérrez Catacora ,,MPS,39.63
20202,Ancoraimes,2011,Félix Huanca Flores,,MAS- IPSP,40.06
20203,Chua Cocani,2011,Agustin Nacho Laura ,,,
20204,Huarina,2011,Rubén Mamani Quispe,,MAS- IPSP,73.82
20205,Santiago de Huata,2011,Blanca Rosa Rovira Miranda Bernal,,MAS- IPSP,39.62
20206,Huatajata,2011,Carlos Huanapaco,,,
20301,Coro Coro,2011,Genaro Tambo Huayta,,QATUQI,33.32
20302,Caquiaviri,2011,Edwin Lyndon Churqui Chuqui,,MAS- IPSP,25.26
20303,Calacoto,2011,Natalio Aramayo Tito,,CUMI,35.78
20304,Comanche,2011,Mónica Betzabe Paxi Ríos  ,,MAS- IPSP,100
20305,Charaña,2011,Vladimir Montes Tancara,,MAS- IPSP,45.5
20306,Waldo Ballivián,2011,Abdón Ignacio Oruño Marcani,,MAS- IPSP,32.31
20307,Nazacara de Pacajes,2011,Antonio Hinojosa Cosme ,,,
20308,Santiago de Callapa,2011,Germán Isidro Canqui,,,
20401,Puerto Acosta,2011,Ernesto Paco Nina,,TS,29.77
20402,Mocomoco,2011,Sabino Callisaya Monrroy a.i.,,MCP.NG,48.62
20403,Puerto Carabuco,2011,Cruz Nina Siguacollo,,MAS- IPSP,47.55
20404,Humanata,2011,Braulio Quispe Condori,,MSM,58.92
20405,Escoma,2011,Pablo Chambi Cocarico,,MPS,49.63
20501,Chuma,2011,Raúl Quispe Villca,,MAS- IPSP,43.03
20502,Ayata,2011,Abelino Paxi Mamani ,,ASP,64.07
20503,Aucapata,2011,Gonzalo Gomez Peña,,MAS- IPSP,39.69
20601,Sorata,2011,Adelio Flores,,MAS- IPSP,36.17
20602,Guanay,2011,Demetrio Copa Mamani ,,MAS- IPSP,35.73
20603,Tacacoma,2011,Serapio Aduviri Cruz,,,
20604,Quiabaya,2011,Moisés Pari Quispe,,,
20605,Combaya,2011,Julián Santander Ancoma ,,,
20606,Tipuani,2011,Benedicto Veliz Espinoza,,,
20607,Mapiri,2011,Santiago Quiso Carpa,,MPS,27.56
20608,Teoponte,2011,Vicente Condori Machaca,,,
20701,Apolo,2011,Mario Ismael Flores Cuba,,MSM,47.25
20702,Pelechuco,2011,Delia Valencia Arenas,,MPS,42.56
20801,Viacha,2011,Delfín Mamani Escobar ,,MAS- IPSP,100
20802,Guaqui,2011,Victor Mamani Condori,,MAS- IPSP,44.05
20803,Tiahuanacu,2011,Marcelino Copaña Alejo,,MSM,52.08
20804,Desaguadero,2011,Lucio Flores Huayta,,MAS- IPSP,51.55
20805,San Andrés de Machaca,2011,Macario Mamani Mamani ,,,
20806,Jesús de Machaca,2011,Moisés Quizo Asistiri ,,,
20807,Taraco,2011,Virginia Lecoña Alejo,,,
20901,Luribay,2011,Alejandro Cadima Calle,,MAS- IPSP,29.55
20902,Sapahaqui,2011,Marcelino Apaza Calle,,MAS- IPSP,36.87
20903,Yaco,2011,Luis Rafael Miranda ,,MAS- IPSP,100
20904,Malla,2011,Humberto Ochoa Villca,,MSM,56.28
20905,Cairoma,2011,Pedro Pillco Conde,,MAS- IPSP,57.98
21001,Inquisivi,2011,Walter Calle Laura,,MSM,29.61
21002,Quime,2011,Paulino Villanueva Oyardo,,MAS- IPSP,45.94
21003,Cajuata,2011,Freddy Laura Sejas,,ADEPCOCA,60.29
21004,Colquiri,2011,Silverio Colque Mamani ,,,
21005,Ichoca,2011,Ramiro Orellana Choque ,,,
21006,Licoma Pampa,2011,Sandro Córdova Calle,,,
21101,Chulumani,2011,Hernán Justo Zenteno ,,ADEPCOCA,50.23
21102,Irupana,2011,Clemente Mamani Condorena,,MAS- IPSP,65.71
21103,Yanacachi,2011,Feliciano Lopez Lopez,,,
21104,Palos Blancos,2011,Nazario Freddy Escobar Fernandez,,,
21105,La Asunta,2011,Vidal Machicado Vargas,,,
21201,Pucarani,2011,Félix Espinoza Coro,,MAS- IPSP,38.74
21202,Laja,2011,Vicente Yujra Coronado,,MAS- IPSP,39.54
21203,Batallas,2011,Rene Choque Huanca,,,
21204,Puerto Pérez,2011,Juan Quispe Bautista,,,
21301,Sica Sica,2011,Walter Maizo Alandia,,MPS,38.8
21302,Umala,2011,Pánfilo Huanca Poma ,,MAS- IPSP,56.96
21303,Ayo Ayo,2011,Braulio Choque Mamani ,,MAS- IPSP,54.22
21304,Calamarca,2011,Yesid Luin Mamani,,MAS- IPSP,35.69
21305,Patacamaya,2011,Esteban Laura Huaycho,,MAS- IPSP,61.61
21306,Colquencha,2011,Aurelio Mamani Huchani,,,
21307,Collana,2011,Hugo Chipana Mamani,,,
21401,Coroico,2011,Ángel Miranda Huanca,,MAS- IPSP,47.09
21402,Coripata,2011,Froilán Mamani Mamani,,MAS- IPSP,44.06
21501,Ixiamas,2011,Felipa Bilma Tintaya Apaza a.i.,,MAS- IPSP,31.62
21502,San Buenaventura,2011,Ronny Daniel Mendia Tobias a.i.,,MAS- IPSP,42.05
21601,Gral. Juan José Perez (Charazani),2011,Martin Eddy Canaza Barrenozo,,MAS- IPSP,62.31
21602,Curva,2011,Néstor Palluca Nina,,MAS- IPSP,100
21701,Copacabana,2011,Emil Fernando Quispe Pari ,,MAS- IPSP,25.65
21702,San Pedro de Tiquina,2011,Nelly Rodríguez de Llanque,,MAS- IPSP,71.42
21703,Tito Yupanqui,2011,Eugenio Achu,,NOS,51.9
21801,San Pedro de Curahuara,2011,Alfredo Ayca Terrazas ,,MAS- IPSP,44.85
21802,Papel Pampa,2011,Romelio Yampara Cruz ,,MAS- IPSP,45.67
21803,Chacarilla,2011,Germán Alejandro Gutierrez Garcia,,,
21901,Santiago de Machaca,2011,Héctor Jose Espejo Espejox,,FPV,43.17
21902,Catacora,2011,Absalón Canurana Surco,,MAS- IPSP,68.92
22001,Caranavi,2011,Teodocio Quilca Acarapi,,MAS- IPSP,64.52
22002,Alto Beni,2011,Joaquín Benito Mamani Siñani,,MAS- IPSP,56.19
30101,Cochabamba,2011,Edwin Castellanos Mendoza-,,MAS- IPSP,39.54
30201,Aiquile,2011,Anacleto Montaño Suárez,,MAS- IPSP,50.12
30202,Pasorapa,2011,Cintia Guisela Ávila Rojas,,PUN,51.27
30203,Omereque,2011,Marcelino Soliz,,MAS- IPSP,81.19
30301,Independencia,2011,Gonzalo Calcina Santivañez,,MAS- IPSP,74.76
30302,Morochata,2011,Juan Vegamonte Mercado,,MAS- IPSP,100
30303,Cocapata,2011,Pedro Padilla Antezana,,MAS- IPSP,88.96
30401,Tarata,2011,Emilio Rojas Montaño,,MAS- IPSP,67.73
30402,Anzaldo,2011,Grover Vallejos Zárate,,MAS- IPSP,67.44
30403,Arbieto,2011,Diógenes Escóbar Céspedes,,MAS- IPSP,58.43
30404,Sacabamba,2011,Martín Siles Iriarte,,,
30501,Arani,2011,Macario Alvarez Reque,,MAS- IPSP,59.88
30502,Vacas,2011,Teófilo Vásquez Santos,,MAS- IPSP,69.84
30601,Arque,2011,Cecilio Alanes Cruz,,MAS- IPSP,100
30602,Tacopaya,2011,Martín Torrico Ramos,,MAS- IPSP,100
30701,Capinota,2011,Sinforiano Paniagua Condori,,MAS- IPSP,66.93
30702,Santivañez,2011,Javier Salguero Arze,,MAS- IPSP,59.54
30703,Sicaya,2011,Jorge Sánchez Peñarrieta,,MAS- IPSP,86.53
30801,Cliza,2011,Freddy Vargas Terceros,,MAS- IPSP,52.29
30802,Toco,2011,Jannedt Flores Ferrufino,,MAS- IPSP,62.09
30803,Tolata,2011,Walter Vargas Balderomar,,MSM,43.12
30901,Quillacollo,2011,Charles Christhian Becerra Sejas,,UNE,37.97
30902,Sipe Sipe,2011,Oscar Jaldin Baleriano,,MAS- IPSP,58.59
30903,Tiquipaya,2011,Saúl Cruz Pardo,,MAS- IPSP,52.36
30904,Vinto,2011,Edgar René Soliz Román,,,
30905,Colcapirhua,2011,Milton Garabito Monroy,,,
31001,Sacaba,2011,Humberto Sánchez Sánchez,,MAS- IPSP,43.9
31002,Colomi,2011,Abdón Jiménez Torrico a.i.,,MSM,50.46
31003,Villa Tunari,2011,Feliciano Mamani Quispe,,,
31101,Tapacarí,2011,Modesto Mamani Reque,,MAS- IPSP,100
31201,Totora,2011,Severo Flores Rodríguez,,MAS- IPSP,79.04
31202,Pojo,2011,Fidel Rojas Catoceno,,,
31203,Pocona,2011,Mario Céspedes Villarroel,,,
31204,Chimoré,2011,Víctor Blanco Durán,,,
31205,Puerto Villarroel,2011,Félix Acosta Vasquez,,,
31206,Entre Ríos (Bulo Bulo),2011,Aurelio Rojas López,,,
31301,Mizque,2011,Jhonny Pardo Ramírez,,MAS- IPSP,54.12
31302,Vila Vila,2011,Juan Siles Pozo,,MAS- IPSP,100
31303,Alalay,2011,Rosendo Ovando León,,,
31401,Punata,2011,José Antonio Gonzales,,IMU,73.84
31402,Villa Rivero,2011,Wilfredo Villarroel Orellana a.i.,,MAS- IPSP,54.56
31403,San Benito,2011,Roberto Tenorio Pozo,,,
