cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
10403,Sopachuy,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MMP"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":30889},{""s"":""MMP"",""v"":15019},{""s"":""ACH"",""v"":437}]",
10404,Villa Alcalá,5,3,2,"[{""s"":""MMP"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":13547},{""s"":""MMP"",""v"":10879}]",
10405,El Villar,5,2,3,"[{""s"":""FPV"",""v"":1},{""s"":""MAS-IPSP"",""v"":4}]","[{""s"":""MAS-IPSP"",""v"":24679},{""s"":""FPV"",""v"":5060},{""s"":""ACH"",""v"":391}]",
10501,Monteagudo,7,4,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FRI"",""v"":4}]","[{""s"":""FRI"",""v"":83398},{""s"":""MAS-IPSP"",""v"":75371},{""s"":""ACH"",""v"":17710}]",
10502,San Pablo de Huacareta,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""CST"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":35627},{""s"":""CST"",""v"":12466},{""s"":""PAIS"",""v"":7291},{""s"":""ACH"",""v"":3151}]",
10601,Tarabuco,7,4,3,"[{""s"":""FRI"",""v"":2},{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":60536},{""s"":""FRI"",""v"":31096}]",
10602,Yamparáez,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":43562},{""s"":""FRI"",""v"":6624}]",
10701,Camargo,7,3,4,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""FRI"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":56304},{""s"":""FRI"",""v"":42366},{""s"":""ACH"",""v"":7268}]",
10702,San Lucas,7,3,4,"[{""s"":""MAS-IPSP"",""v"":6},{""s"":""CST"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":130525},{""s"":""CST"",""v"":22103},{""s"":""ACH"",""v"":8832},{""s"":""FRI"",""v"":3887}]",
10703,Incahuasi,5,3,2,"[{""s"":""CST"",""v"":1},{""s"":""ACH"",""v"":1},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":29877},{""s"":""ACH"",""v"":11914},{""s"":""CST"",""v"":8395}]",
10704,Villa Charcas,7,4,3,"[{""s"":""ACH"",""v"":2},{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":58558},{""s"":""ACH"",""v"":20585}]",
10801,Villa Serrano,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""CST"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":53636},{""s"":""CST"",""v"":31947}]",
10901,Camataqui (Villa Abecia),5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FRI"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":13087},{""s"":""FRI"",""v"":8556}]",
10902,Culpina,7,4,3,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""FRI"",""v"":1},{""s"":""ACH"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":52624},{""s"":""FRI"",""v"":16399},{""s"":""ACH"",""v"":11316},{""s"":""CST"",""v"":8924}]",
10903,Las Carreras,5,1,4,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""ACH"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":17802},{""s"":""ACH"",""v"":4209}]",
11001,Villa Vaca Guzmán (Muyupampa),5,4,1,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ACH"",""v"":1},{""s"":""CST"",""v"":1},{""s"":""FRI"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":27830},{""s"":""FRI"",""v"":15847},{""s"":""CST"",""v"":13064},{""s"":""ACH"",""v"":9729}]",
11002,Huacaya,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""CST"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":10304},{""s"":""CST"",""v"":8855}]",
11003,Macharetí,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""CST"",""v"":3}]","[{""s"":""CST"",""v"":23690},{""s"":""MAS-IPSP"",""v"":18791},{""s"":""FPV"",""v"":6210},{""s"":""ACH"",""v"":2047}]",
20101,La Paz,11,5,6,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""SOL.BO"",""v"":7}]","[{""s"":""SOL.BO"",""v"":6184999},{""s"":""MAS-IPSP"",""v"":3339876},{""s"":""FPV"",""v"":270250},{""s"":""MNR"",""v"":176525}]",
20102,Palca,7,4,3,"[{""s"":""SOL.BO"",""v"":1},{""s"":""MPS"",""v"":1},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MCP-NG"",""v"":3}]","[{""s"":""MCP-NG"",""v"":33120},{""s"":""MAS-IPSP"",""v"":19297},{""s"":""SOL.BO"",""v"":18078},{""s"":""MPS"",""v"":14352}]",
20103,Mecapaca,7,3,4,"[{""s"":""UN"",""v"":2},{""s"":""MAS-IPSP"",""v"":3},{""s"":""PODER - O"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":35489},{""s"":""PODER - O"",""v"":24035},{""s"":""UN"",""v"":21344},{""s"":""ASP"",""v"":10028},{""s"":""FPV"",""v"":8993},{""s"":""FUERZA - TDM"",""v"":7682},{""s"":""MPS"",""v"":5888},{""s"":""SOL.BO"",""v"":5060}]",
20104,Achocalla,7,4,3,"[{""s"":""LUS-1S"",""v"":3},{""s"":""MAS-IPSP"",""v"":3},{""s"":""UN"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":56810},{""s"":""LUS-1S"",""v"":52647},{""s"":""UN"",""v"":27393},{""s"":""SOL.BO"",""v"":12558}]",
20105,El Alto,11,6,5,"[{""s"":""UN"",""v"":6},{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":4}]","[{""s"":""UN"",""v"":3848797},{""s"":""MAS-IPSP"",""v"":2932086},{""s"":""SOL.BO"",""v"":771397},{""s"":""ASP"",""v"":237866},{""s"":""MPS"",""v"":210013},{""s"":""UCS"",""v"":146602},{""s"":""MNR"",""v"":66470}]",
20201,Achacachi,7,6,1,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":3},{""s"":""ASP"",""v"":1},{""s"":""SOL.BO"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":91057},{""s"":""MPS"",""v"":88090},{""s"":""ASP"",""v"":51405},{""s"":""SOL.BO"",""v"":40710},{""s"":""UN"",""v"":3496}]",
20202,Ancoraimes,5,2,3,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":40411},{""s"":""MPS"",""v"":36156}]",
20203,Chua Cocani,5,3,2,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":2},{""s"":""UN"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":13524},{""s"":""MPS"",""v"":13455},{""s"":""UN"",""v"":6371}]",
20204,Huarina,5,3,2,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":27347},{""s"":""MPS"",""v"":24426}]",
20205,Santiago de Huata,6,4,2,"[{""s"":""ASP"",""v"":1},{""s"":""FPV"",""v"":1},{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":13133},{""s"":""ASP"",""v"":9867},{""s"":""SOL.BO"",""v"":7912},{""s"":""FPV"",""v"":5658},{""s"":""MPS"",""v"":4669},{""s"":""MOCSAH"",""v"":3703}]",
20206,Huatajata,5,3,2,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":14214},{""s"":""MPS"",""v"":9246},{""s"":""UN"",""v"":4416}]",
20301,Coro Coro,5,3,2,"[{""s"":""ASP"",""v"":2},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":1}]","[{""s"":""ASP"",""v"":26979},{""s"":""MAS-IPSP"",""v"":21068},{""s"":""MPS"",""v"":10925}]",
20302,Caquiaviri,5,2,3,"[{""s"":""FPV"",""v"":2},{""s"":""ML"",""v"":1},{""s"":""MAS-IPSP"",""v"":1},{""s"":""MPS"",""v"":1}]","[{""s"":""FPV"",""v"":22655},{""s"":""MAS-IPSP"",""v"":9867},{""s"":""ML"",""v"":9683},{""s"":""MPS"",""v"":8878},{""s"":""CAMBIO"",""v"":7061},{""s"":""UNAMOS BOLIVIA"",""v"":4255}]",
20303,Calacoto,5,2,3,"[{""s"":""CUMI"",""v"":1},{""s"":""FPV"",""v"":1},{""s"":""UN"",""v"":1},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":19849},{""s"":""CUMI"",""v"":12466},{""s"":""FPV"",""v"":9936},{""s"":""UN"",""v"":6693}]",
20304,Comanche,5,2,3,"[{""s"":""ASP"",""v"":2},{""s"":""MAS-IPSP"",""v"":1},{""s"":""MPS"",""v"":2}]","[{""s"":""ASP"",""v"":9821},{""s"":""MPS"",""v"":8533},{""s"":""MAS-IPSP"",""v"":4600}]",
20305,Charaña,5,2,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":3}]","[{""s"":""MPS"",""v"":7659},{""s"":""MAS-IPSP"",""v"":5980}]",
20306,Waldo Ballivián,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":5359}]",
20307,Nazacara de Pacajes,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":2921}]",
20308,Santiago de Callapa,5,2,3,"[{""s"":""MK - PC"",""v"":1},{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MPS"",""v"":12443},{""s"":""MAS-IPSP"",""v"":9522},{""s"":""MK - PC"",""v"":7038},{""s"":""FPV"",""v"":4416}]",
20401,Puerto Acosta,5,2,3,"[{""s"":""FPV"",""v"":1},{""s"":""PUMA"",""v"":1},{""s"":""SOL.BO"",""v"":3}]","[{""s"":""SOL.BO"",""v"":27853},{""s"":""FPV"",""v"":13018},{""s"":""PUMA"",""v"":9177},{""s"":""UN"",""v"":7705},{""s"":""MAS-IPSP"",""v"":7314},{""s"":""ASP"",""v"":6233},{""s"":""MPS"",""v"":6095}]",
20402,Mocomoco,7,3,4,"[{""s"":""MPS"",""v"":3},{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MPS"",""v"":30130},{""s"":""MAS-IPSP"",""v"":27071},{""s"":""SOL.BO"",""v"":7659},{""s"":""UN"",""v"":2714}]",
20403,Puerto Carabuco,5,2,3,"[{""s"":""FPV"",""v"":1},{""s"":""TS"",""v"":1},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MTL"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":16652},{""s"":""TS"",""v"":15870},{""s"":""FPV"",""v"":10350},{""s"":""MTL"",""v"":9292},{""s"":""MPS"",""v"":8096},{""s"":""ASP"",""v"":7199},{""s"":""SOL.BO"",""v"":5842},{""s"":""AYNI - 1"",""v"":2070},{""s"":""UN"",""v"":759}]",
20404,Humanata,5,3,2,"[{""s"":""UN"",""v"":1},{""s"":""MAS-IPSP"",""v"":2},{""s"":""SOL.BO"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":9430},{""s"":""SOL.BO"",""v"":6762},{""s"":""UN"",""v"":4186},{""s"":""MPS"",""v"":1702}]",
20405,Escoma,5,4,1,"[{""s"":""MPS"",""v"":1},{""s"":""MAS-IPSP"",""v"":1},{""s"":""S.E."",""v"":2},{""s"":""ASP"",""v"":1}]","[{""s"":""S.E."",""v"":17342},{""s"":""MPS"",""v"":8809},{""s"":""ASP"",""v"":6946},{""s"":""MAS-IPSP"",""v"":6739},{""s"":""FPV"",""v"":5359},{""s"":""UN"",""v"":1403}]",
20501,Chuma,5,1,4,"[{""s"":""ASP"",""v"":1},{""s"":""MPS"",""v"":1},{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":18423},{""s"":""SOL.BO"",""v"":16491},{""s"":""ASP"",""v"":14053},{""s"":""MPS"",""v"":10419},{""s"":""UN"",""v"":621}]",
20502,Ayata,5,3,2,"[{""s"":""ASP"",""v"":3},{""s"":""MAS-IPSP"",""v"":1},{""s"":""MPS"",""v"":1}]","[{""s"":""ASP"",""v"":15548},{""s"":""MAS-IPSP"",""v"":8786},{""s"":""MPS"",""v"":7452},{""s"":""FPV"",""v"":3013},{""s"":""SOL.BO"",""v"":1748},{""s"":""UN"",""v"":874}]",
20503,Aucapata,5,2,3,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":1},{""s"":""ASP"",""v"":2}]","[{""s"":""ASP"",""v"":10971},{""s"":""MPS"",""v"":8234},{""s"":""MAS-IPSP"",""v"":6118},{""s"":""SOL.BO"",""v"":2507}]",
20601,Sorata,7,2,5,"[{""s"":""MPS"",""v"":1},{""s"":""ASP"",""v"":1},{""s"":""SOL.BO"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":60628},{""s"":""SOL.BO"",""v"":32936},{""s"":""MPS"",""v"":17388},{""s"":""ASP"",""v"":16951}]",
20602,Guanay,5,3,2,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":2},{""s"":""SOL.BO"",""v"":1}]","[{""s"":""MPS"",""v"":29003},{""s"":""MAS-IPSP"",""v"":25254},{""s"":""SOL.BO"",""v"":15847},{""s"":""UN"",""v"":5428},{""s"":""ASP"",""v"":5152},{""s"":""FPV"",""v"":3105}]",
20603,Tacacoma,5,3,2,"[{""s"":""SOL.BO"",""v"":2},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":1}]","[{""s"":""SOL.BO"",""v"":12926},{""s"":""MAS-IPSP"",""v"":11454},{""s"":""MPS"",""v"":7866}]",
20604,Quiabaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""SOL.BO"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":8257},{""s"":""SOL.BO"",""v"":4876}]",
20605,Combaya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":14283},{""s"":""ASP"",""v"":2254},{""s"":""MPS"",""v"":2208},{""s"":""SOL.BO"",""v"":1679}]",
20606,Tipuani,5,2,3,"[{""s"":""SOL.BO"",""v"":2},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":22057},{""s"":""SOL.BO"",""v"":15663},{""s"":""MPS"",""v"":7682},{""s"":""UN"",""v"":7360},{""s"":""ASP"",""v"":4991}]",
20607,Mapiri,5,1,4,"[{""s"":""UN"",""v"":1},{""s"":""SOL.BO"",""v"":3},{""s"":""MAS-IPSP"",""v"":1}]","[{""s"":""SOL.BO"",""v"":29417},{""s"":""UN"",""v"":16399},{""s"":""MAS-IPSP"",""v"":14352},{""s"":""FPV"",""v"":2714}]",
20608,Teoponte,5,3,2,"[{""s"":""UN"",""v"":1},{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":21114},{""s"":""SOL.BO"",""v"":12834},{""s"":""UN"",""v"":9338},{""s"":""MPS"",""v"":575}]",
20701,Apolo,7,3,4,"[{""s"":""MPS"",""v"":1},{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":1},{""s"":""ASP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":26174},{""s"":""ASP"",""v"":17411},{""s"":""FPV"",""v"":10534},{""s"":""MPS"",""v"":6923},{""s"":""UN"",""v"":4991}]",
20702,Pelechuco,5,1,4,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""UN"",""v"":1},{""s"":""ASP"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":15847},{""s"":""UN"",""v"":8441},{""s"":""ASP"",""v"":6417},{""s"":""SOL.BO"",""v"":4784}]",
20801,Viacha,11,7,4,"[{""s"":""UN"",""v"":3},{""s"":""MAS-IPSP"",""v"":4},{""s"":""MPS"",""v"":1},{""s"":""UCS"",""v"":1},{""s"":""SOL.BO"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":183655},{""s"":""UN"",""v"":136206},{""s"":""SOL.BO"",""v"":101453},{""s"":""MPS"",""v"":70840},{""s"":""UCS"",""v"":46552}]",
20802,Guaqui,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":1},{""s"":""MPS"",""v"":2}]","[{""s"":""MPS"",""v"":17687},{""s"":""MAS-IPSP"",""v"":11937},{""s"":""ASP"",""v"":8924},{""s"":""UN"",""v"":4002}]",
20803,Tiahuanacu,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""ASP"",""v"":2},{""s"":""MPS"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":28658},{""s"":""ASP"",""v"":23230},{""s"":""MPS"",""v"":16836}]",
20804,Desaguadero,5,2,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""UN"",""v"":1},{""s"":""MPS"",""v"":2}]","[{""s"":""MPS"",""v"":24334},{""s"":""MAS-IPSP"",""v"":17204},{""s"":""UN"",""v"":11684}]",
20805,San Andrés de Machaca,5,2,3,"[{""s"":""CAOSAM"",""v"":3},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""CAOSAM"",""v"":16261},{""s"":""MAS-IPSP"",""v"":11477}]",
20806,Jesús de Machaca,7,3,4,"[{""s"":""MACOJMA"",""v"":4},{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":1}]","[{""s"":""MACOJMA"",""v"":43838},{""s"":""MAS-IPSP"",""v"":19343},{""s"":""MPS"",""v"":11224}]",
20807,Taraco,5,2,3,"[{""s"":""ASP"",""v"":2},{""s"":""CAOTM"",""v"":1},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":13662},{""s"":""ASP"",""v"":12052},{""s"":""CAOTM"",""v"":4876}]",
20901,Luribay,5,2,3,"[{""s"":""MAS-IPSP"",""v"":1},{""s"":""ASP"",""v"":1},{""s"":""UVA"",""v"":1},{""s"":""MIDELUR"",""v"":2}]","[{""s"":""MIDELUR"",""v"":28152},{""s"":""UVA"",""v"":21597},{""s"":""MAS-IPSP"",""v"":20677},{""s"":""ASP"",""v"":13294},{""s"":""MPS"",""v"":6624}]",
20902,Sapahaqui,5,3,2,"[{""s"":""ASP"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":35811},{""s"":""ASP"",""v"":21528},{""s"":""MPS"",""v"":9269},{""s"":""FPV"",""v"":7429},{""s"":""SOL.BO"",""v"":6072},{""s"":""UN"",""v"":1564},{""s"":""UCS"",""v"":1495}]",
20903,Yaco,5,4,1,"[{""s"":""UCS"",""v"":1},{""s"":""ASP"",""v"":1},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":14697},{""s"":""UCS"",""v"":9453},{""s"":""ASP"",""v"":7981},{""s"":""A.N.S."",""v"":4439},{""s"":""UN"",""v"":782}]",
20904,Malla,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MPS"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":8947},{""s"":""MPS"",""v"":4255}]",
20905,Cairoma,5,3,2,"[{""s"":""MPS"",""v"":1},{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":27853},{""s"":""MPS"",""v"":13409},{""s"":""FPV"",""v"":10442},{""s"":""UN"",""v"":3657},{""s"":""ARACA"",""v"":3404}]",
21001,Inquisivi,5,3,2,"[{""s"":""SOL.BO"",""v"":1},{""s"":""MAS-IPSP"",""v"":4}]","[{""s"":""MAS-IPSP"",""v"":55890},{""s"":""SOL.BO"",""v"":19642},{""s"":""FPV"",""v"":13133}]",
21002,Quime,5,3,2,"[{""s"":""SOL.BO"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":22816},{""s"":""SOL.BO"",""v"":19918},{""s"":""UN"",""v"":7153}]",
21003,Cajuata,5,2,3,"[{""s"":""ADEPCOCA"",""v"":1},{""s"":""MAS-IPSP"",""v"":4}]","[{""s"":""MAS-IPSP"",""v"":43447},{""s"":""ADEPCOCA"",""v"":18423}]",
21004,Colquiri,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MPS"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":60996},{""s"":""MPS"",""v"":50140},{""s"":""UN"",""v"":12811}]",
21005,Ichoca,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":18607}]",
21006,Licoma Pampa,5,2,3,"[{""s"":""C 2000"",""v"":1},{""s"":""MAS-IPSP"",""v"":4}]","[{""s"":""MAS-IPSP"",""v"":9016},{""s"":""C 2000"",""v"":3634}]",
21101,Chulumani,7,5,2,"[{""s"":""SOL.BO"",""v"":1},{""s"":""UN"",""v"":1},{""s"":""MAS-IPSP"",""v"":3},{""s"":""MPS"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":51198},{""s"":""MPS"",""v"":49220},{""s"":""SOL.BO"",""v"":21459},{""s"":""UN"",""v"":18515}]",
21102,Irupana,7,3,4,"[{""s"":""MPS"",""v"":2},{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":68425},{""s"":""MPS"",""v"":40664}]",
21103,Yanacachi,5,2,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MYP"",""v"":3}]","[{""s"":""MYP"",""v"":17618},{""s"":""MAS-IPSP"",""v"":14789},{""s"":""UN"",""v"":2001}]",
21104,Palos Blancos,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""FPV"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":78936},{""s"":""FPV"",""v"":59179},{""s"":""MPS"",""v"":7636},{""s"":""UN"",""v"":4232}]",
21105,La Asunta,7,3,4,"[{""s"":""SOL.BO"",""v"":2},{""s"":""MAS-IPSP"",""v"":3},{""s"":""MPS"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":98555},{""s"":""MPS"",""v"":65274},{""s"":""SOL.BO"",""v"":52486},{""s"":""UN"",""v"":14881}]",
21201,Pucarani,7,4,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""T-INTI"",""v"":2},{""s"":""MPS"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":57799},{""s"":""T-INTI"",""v"":48737},{""s"":""MPS"",""v"":38571}]",
21202,Laja,7,3,4,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""SOL.BO"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":47334},{""s"":""SOL.BO"",""v"":42803},{""s"":""MPS"",""v"":10327}]",
21203,Batallas,7,4,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MPS"",""v"":4}]","[{""s"":""MPS"",""v"":60352},{""s"":""MAS-IPSP"",""v"":41791},{""s"":""SOL.BO"",""v"":12673},{""s"":""UN"",""v"":8970}]",
21204,Puerto Pérez,5,3,2,"[{""s"":""ASP"",""v"":1},{""s"":""MPS"",""v"":1},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":22655},{""s"":""MPS"",""v"":14122},{""s"":""ASP"",""v"":8832}]",
21301,Sica Sica,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""NOS"",""v"":2},{""s"":""ASP"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":65803},{""s"":""NOS"",""v"":44804},{""s"":""ASP"",""v"":17756}]",
21302,Umala,5,2,3,"[{""s"":""ASP"",""v"":1},{""s"":""NOS"",""v"":2},{""s"":""MAS-IPSP"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":20585},{""s"":""NOS"",""v"":16169},{""s"":""ASP"",""v"":7889}]",
21303,Ayo Ayo,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MPS"",""v"":2},{""s"":""ASP"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":16698},{""s"":""MPS"",""v"":16652},{""s"":""ASP"",""v"":5819}]",
