cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
10101,Sucre,11,6,5,"[{""s"":""CST"",""v"":2},{""s"":""MAS-IPSP"",""v"":5},{""s"":""FRI"",""v"":4}]","[{""s"":""MAS-IPSP"",""v"":1116880},{""s"":""FRI"",""v"":994474},{""s"":""CST"",""v"":397969},{""s"":""PAIS"",""v"":144992},{""s"":""ACH"",""v"":118496},{""s"":""FPV"",""v"":34569}]",
10102,Yotala,5,3,2,"[{""s"":""CST"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":42113},{""s"":""CST"",""v"":21873},{""s"":""FRI"",""v"":966},{""s"":""PAIS"",""v"":598}]",
10103,Poroma,7,4,3,"[{""s"":""ASOCOIN-POROMA"",""v"":2},{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":55246},{""s"":""ASOCOIN-POROMA"",""v"":24725}]",
10201,Villa Azurduy,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":35857},{""s"":""FPV"",""v"":30130},{""s"":""FRI"",""v"":529}]",
10202,Tarvita,5,3,2,"[{""s"":""CST"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":44781},{""s"":""CST"",""v"":35834},{""s"":""FRI"",""v"":805}]",
10301,Villa Zudañez,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""CST"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":29923},{""s"":""CST"",""v"":14237},{""s"":""ACH"",""v"":1817}]",
10302,Presto,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""CST"",""v"":1}]","[{""s"":""MAS-IPSP"",""v"":33580},{""s"":""CST"",""v"":9959},{""s"":""ACH"",""v"":736}]",
10303,Villa Mojocoya,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MIM"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":24932},{""s"":""MIM"",""v"":16537},{""s"":""ACH"",""v"":7015}]",
10304,Icla,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""SOMHOS"",""v"":2}]","[{""s"":""MAS-IPSP"",""v"":29279},{""s"":""SOMHOS"",""v"":20861},{""s"":""FRI"",""v"":782}]",
10401,Padilla,5,3,2,"[{""s"":""PAIS"",""v"":2},{""s"":""MAS-IPSP"",""v"":3}]","[{""s"":""MAS-IPSP"",""v"":53199},{""s"":""PAIS"",""v"":31970},{""s"":""ACH"",""v"":460}]",
10402,Tomina,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]","[{""s"":""MAS-IPSP"",""v"":49404},{""s"":""CST"",""v"":6486}]",
