id,cod_ine
1,40505
2,50203
3,50702
4,30201
5,50701
6,51302
7,40701
8,40501
9,31402
10,21803
11,30403
12,21802
13,21302
14,40101
15,41601
16,21801
17,30703
18,71402
19,30701
20,30601
21,20301
22,31403
23,20902
24,20905
25,21004
26,21005
27,70104
28,70803
29,70105
30,70901
31,10702
32,10902
33,10703
34,70404
35,50102
36,50501
37,20202
38,20403
39,40901
40,80601
41,51202
42,51203
43,60303
44,50103
45,50104
46,20402
47,71302
48,30203
49,70103
50,70101
51,80501
52,80102
53,71005
54,21003
55,21001
56,21102
57,21101
58,40601
59,41301
60,50301
61,40402
62,41502
63,71101
64,70602
65,80803
66,41501
67,60601
68,80701
69,80702
70,20803
71,50401
72,50403
73,30901
74,31001
75,30903
76,30905
77,30902
78,30904
79,30401
80,31201
81,70401
82,70402
83,80801
84,70601
85,51003
86,60401
87,51002
88,60301
89,60402
90,60302
91,60501
92,60502
93,50502
94,51601
95,60101
96,51001
97,10903
98,10901
99,30302
100,41503
101,40504
102,40503
103,40603
104,20307
105,20302
106,41202
107,40301
108,50602
109,20901
110,51301
111,30404
112,30402
113,30802
114,31405
115,31404
116,30801
117,30602
118,30702
119,40104
120,21307
121,30803
122,90101
123,41101
124,20308
125,30101
126,40102
127,21902
128,20903
129,20303
130,30501
131,31401
132,21301
133,21305
134,21306
135,21901
136,90303
137,90302
138,80303
139,20904
140,20304
141,21304
142,20801
143,21006
144,21002
145,20205
146,21202
147,20103
148,20102
149,20104
150,20105
151,21103
152,31101
153,20804
154,20806
155,20802
156,21703
157,21201
158,20605
159,21401
160,21402
161,20604
162,20503
163,21303
164,10201
165,20606
166,20101
167,20601
168,21105
169,20501
170,20602
171,20608
172,20607
173,21601
174,51102
175,21701
176,10202
177,50302
178,51101
179,51103
180,10405
181,11002
182,20603
183,10502
184,10501
185,50101
186,21702
187,70701
188,10404
189,10403
190,10304
191,10102
192,10602
193,10402
194,50404
195,10601
196,10301
197,21602
198,20702
199,21104
200,20701
201,80304
202,21502
203,80401
204,80302
205,80301
206,90301
207,80703
208,80402
209,80201
210,90102
211,90104
212,90202
213,90201
214,90401
215,90402
216,80202
217,90502
218,90503
219,90501
220,20204
221,21204
222,50204
223,90103
224,90203
225,22002
226,22001
227,20203
228,31501
229,20206
230,20404
231,11001
232,21203
233,10401
234,10303
235,70805
236,10801
237,11003
238,70707
239,70704
240,70706
241,30303
242,70801
243,70705
244,10101
245,10302
246,70804
247,70802
248,70904
249,70703
250,70102
251,70403
252,71106
253,71105
254,71102
255,70302
256,31003
257,31204
258,31601
259,31602
260,71001
261,71501
262,80602
263,30502
264,31203
265,70202
266,70201
267,71002
268,70502
269,71004
270,71003
271,70902
272,70903
273,31205
274,70603
275,71401
276,71403
277,70503
278,71201
279,70702
280,70501
281,70303
282,30301
283,70301
284,71502
285,80802
286,80101
287,71104
288,31202
289,31206
290,10103
291,31002
292,31303
293,31302
294,21501
295,20502
296,51201
297,20306
298,40401
299,40302
300,40502
301,50202
302,50801
303,50802
304,50902
305,71103
306,71503
307,71301
308,60202
309,10704
310,20401
311,20405
312,20305
313,20201
314,20807
315,20805
316,50303
317,50201
318,50402
319,31301
320,30202
321,50601
322,10701
323,51501
324,60201
325,50901
326,40903
327,40902
328,40202
329,41201
330,40702
331,40103
332,40602
333,40201
334,51401
335,41001
336,40801
337,51402
338,41401
339,40802
